순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"88","죽이고 싶은 아이 :이꽃님 장편소설","지은이: 이꽃님","우리학교","2024","2","9791167552723","44810","813.7","5,037",
"89","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","10","9791168415539","77490","472","4,988",
"90","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","6","9791198511577","74810","813.7","4,981",
"91","메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry ","글: 윤정은","북로망스","2023","","9791191891287","03810","813.7","4,974",
"92","즐거운 어른 :이옥선 산문 ","지은이: 이옥선","이야기장수","2024","","9791194184034","03810","818","4,954",
"93","흔한남매 과학 탐험대 6 : 물리 2","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","6","9788934946793","","","4,953",
"93","종의 기원 =정유정 장편소설 /The origin of species ","지은이: 정유정","은행나무","2016","","9788956609959","03810","813.7","4,953",
"95","맡겨진 소녀 :클레어 키건 소설 ","지은이: 클레어 키건 ;옮긴이: 허진","다산북스","2023","","9791130698199","03840","843.6","4,930",
"96","체리새우 :황영미 장편소설 ","지은이: 황영미","문학동네","2019","","9788954654753","03810","813.7","4,908",
"97","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","13","9791168418783","77490","472","4,899",
"98","흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ","원작: 흔한남매 ;그림: 유난희","미래엔","2022","","9791168410930","77810","810","4,893",
"99","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","11","9791168416840","77490","472","4,861",
"100","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","2","9791196025809","74910","911","4,842",
"101","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","1","9791168413078","77030","388","4,818",
"102","세이노의 가르침 :피보다 진하게 살아라 ","세이노 지음","데이원","2023","","9791168473690","03190","325.211","4,799",
"103","(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ","코이케 류노스케 지음 ;박재현 옮김","콘텐츠그룹 포레스트","2024","","9791193506516","03100","224.2","4,777",
"104","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","03320","327.04","4,766",
"105","흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트","원작: 흔한남매 ;그림: 유희석","다산북스","2021","3","9791130640280","77700","710","4,764",
"106","흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트","흔한남매 (원작)|한은호","다산어린이","2021","1","9791130635712","","","4,759",
"107","서랍에 저녁을 넣어 두었다 :한강 시집 ","지은이: 한강","문학과지성사","2013","","9788932024639","03810","811.62","4,756",
"108","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","2","9791190409131","74810","813.7","4,753",
"109","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","6","9791168418950","74810","813.5","4,748",
"110","흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트","원작: 흔한남매 ;그림: 유희석","다산북스","2021","2","9791130637594","77700","710","4,746",
"111","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","3","9791190409148","74810","813.7","4,714",
"112","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","4","9791168417656","77030","388","4,705",
"113","흔한남매 수수께끼 어드벤처 3","흔한남매 (원작), 노지영 (글), 도니패밀리 (그림), 흔한컴퍼니, 정재형 (감수)","미래엔아이세움","2023","3","9791168415591","","","4,703",
"114","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","5","9791190409384","74810","813.7","4,694",
"115","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","0","9788934938224","77400","400","4,687",
"116","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","6","9791168411029","77490","472","4,683",
"117","불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기 ","지은이: 모건 하우절 ;옮긴이: 이수경","서삼독","2024","","9791198517425","03320","327.04","4,676",
"118","한강 ","지은이: 한강","문학동네","2023","","9788954693462","03810","810.81","4,667",
"119","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","29","9791193031636","74910","911","4,644",
"120","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","03810","813.7","4,640",
"121","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","1","9791164134649","74810","816.7","4,620",
"121","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","4","9791164138425","77490","472","4,620",
"123","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","12","9791168419018","77400","400","4,615",
"124","야옹이 수영 교실 ","신현경 글 ;노예지 그림","인플루엔셜","2023","","9791168341180","77810","813.7","4,613",
"125","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","2","9791168414921","77030","388","4,602",
"126","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","1","9791164060481","74830","833.6","4,596",
"127","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","1","9791164137176","77810","691","4,593",
"128","(흔한남매) 별난 세계 여행","흔한남매 원작 ;정주연 그림","미래엔","2023","2","9791168416628","74810","980.2","4,586",
"129","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","4","9791190409261","74810","813.7","4,574",
"130","아주 희미한 빛으로도 :최은영 소설 ","지은이: 최은영","문학동네","2023","","9788954695053","03810","813.7","4,560",
"131","바다가 들리는 편의점 ","마치다 소노코 지음 ;황국영 옮김","바이포엠 스튜디오","2023","","9791192579504","03830","833.6","4,554",
"132","돈의 심리학 :당신은 왜 부자가 되지 못했는가 ","모건 하우절 지음 ;이지연 옮김","인플루엔셜","2021","","9791191056372","03320","327.04","4,553",
"133","저속노화 식사법 :노년내과 의사가 알려주는 기적의 식단 혁명 ","정희원 지음","문학동네","2024","","9791141606862","03510","517.52","4,552",
"134","흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트","원작: 흔한남매 ;그림: 유희석","다산북스","2021","4","9791130641607","77700","710","4,549",
"135","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","9","9791168415157","77490","472","4,540",
"136","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","2","9791164137879","77810","691","4,535",
"137","츠츠츠츠 :이지은 그림책 ","글·그림: 이지은","사계절(사계절출판사)","2024","","9791169812085","77810","813.7","4,526",
"138","흔한남매 이무기 :이해하면 무서운 이야기","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2023","2","9791168418516","77810","810","4,519",
"139","넥서스 =석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사 ","지은이: 유발 하라리 ;옮긴이: 김명주","김영사","2024","","9791194330424","03900","331.5412","4,502",
"140","긴긴밤 ","루리 글·그림","문학동네","2021","","9788954677158","73810","813.7","4,499",
"141","그대의 차가운 손:한강 장편소설","한강 지음","문학과지성사","2002","","9788932013046","03810","813.6","4,490",
"142","세상의 마지막 기차역 ","무라세 다케시 지음 ;김지연 옮김","바이포엠 스튜디오","2022","","9791191043754","03830","833.6","4,473",
"143","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","3","9791196025847","74910","911","4,469",
"144","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","6","9791130653433","74810","813.7","4,466",
"145","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","8","9791168414075","77490","472","4,464",
"146","세계를 건너 너에게 갈게 :이꽃님 장편소설 ","글쓴이: 이꽃님","문학동네","2018","","9788954650212","03810","813.7","4,460",
"147","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","2","9791164135158","74810","816.7","4,452",
"148","천 개의 파랑 :천선란 장편소설 ","지은이: 천선란","허블","2020","","9791190090261","03810","813.7","4,445",
"149","당연하게도 나는 너를 :이꽃님 장편소설 ","지은이: 이꽃님","우리학교","2023","","9791167550972","43810","813.7","4,434",
"150","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","4","9791196025861","74910","911","4,431",
"151","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","30","9791193031681","74910","911","4,430",
"152","달러구트 꿈 백화점 :이미예 장편소설","지은이: 이미예","팩토리나인","2021","2","9791165343729","03810","813.7","4,428",
"153","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","1","9791164135738","77490","472","4,416",
"154","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","4","9791168410541","77810","691","4,414",
"155","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","5","9791196232160","74910","911","4,403",
"156","비스킷 ","글: 김선미","위즈덤하우스","2023","","9791168127630","43810","813.7","4,400",
"157","흰 :한강 소설 ","지은이: 한강","문학동네","2016","","9788954640718","03810","813.62","4,397",
"158","허송세월 :김훈 산문 ","지은이: 김훈","나남","2024","","9788930041683","04040","814.62","4,374",
"158","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","2","9791164136438","77490","472","4,374",
"160","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","7","9791168412279","77490","472","4,369",
"161","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","5","9791168411692","77810","691","4,360",
"162","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","3","9791164137435","77490","472","4,359",
"163","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","1","9791130679990","74810","813.7","4,349",
"164","완전한 행복 :정유정 장편소설 ","지은이: 정유정","은행나무","2021","","9791167370280","03810","813.7","4,340",
"165","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","17","9791168122369","67400","408","4,337",
"166","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","19","9791171712267","77400","408","4,327",
"167","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","3","9791164138715","77810","691","4,324",
"168","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","5","9791164139750","77490","472","4,315",
"169","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","28","9791193031452","74910","911","4,311",
"170","당근 할머니 :안녕달 그림책 ","지은이: 안녕달","창비","2024","","9788936429232","77810","813.7","4,299",
"171","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","3","9791164136223","74810","816.7","4,287",
"172","아홉 살 마음 사전 ","박성우 글 ;김효은 그림","창비","2017","","9788936447014","73710","181","4,281",
"173","급류 :정대건 장편소설 ","지은이: 정대건","민음사","2022","","9788937473401","04810","813.7","4,275",
"174","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","18","9791168126336","77400","408","4,272",
"175","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","12","9791190305310","67400","408","4,265",
